id,WinTeam,cwinrate1,cwinrate2,cwinrate3,cwinrate4,cwinrate5,ckda1,ckda2,ckda3,ckda4,ckda5,cdf1,cdf2,cdf3,cdf4,cdf5,cwinrate6,cwinrate7,cwinrate8,cwinrate9,cwinrate10,ckda6,ckda7,ckda8,ckda9,ckda10,cdf6,cdf7,cdf8,cdf9,cdf10,cwinratedif,ckdadif,cdfdif
1085440997,0,0.769230769,0.769230769,0.692307692,0.5,0.571428571,2.054794521,5.234042553,3.698473282,1.906504065,1.347826087,81,351,576,100,-28,0.5,0.555555556,0.483870968,0.571428571,0.396825397,2.176470588,1.89516129,1.299472296,2.568548387,1.585365854,69,49,-152,265,84,0.158903462,0.943324419,153.0
1085441004,1,0.464285714,0.478723404,0.58041958,0.481481481,0.5,0.944805195,1.239651416,2.328587076,1.422413793,0.558823529,-342,-478,1513,-27,-64,0.535714286,0.6,0.5,0.52173913,0.575757576,1.949541284,2.935714286,1.380952381,1.663009404,1.293948127,196,402,-10,520,-143,-0.045660162,-0.545776895,-72.6
1085441009,1,0.428571429,0.520134228,0.5,0.628742515,0.454545455,1.717948718,2.55488194,2.09047619,1.035447761,2.076671035,204,3306,124,-1494,880,0.585365854,0.543478261,0.5,0.666666667,0.547169811,1.675487465,1.76816609,1.429577465,1.611111111,1.900541272,126,155,-20,8,592,-0.062137393,0.218108448,431.8
1085441020,1,0.542857143,0.285714286,0.352941176,0.484848485,0.465531915,2.864253394,1.34,1.304410355,2.438053097,1.610385814,603,-16,-408,424,2266,0.594594595,0.545706371,0.593023256,0.392857143,0.40625,1.2625,2.195856264,1.472527473,1.225888325,1.362619808,-133,4299,-40,-108,-86,-0.080107672,0.407542158,-212.6
1085441036,1,0.285714286,0.49339207,0.352941176,0.647798742,0.5,0.936363636,1.258798051,1.707964602,1.440688384,0.9,-62,-891,47,-193,-30,0.7,0.548983364,0.422222222,0.58490566,0.568047337,1.50802139,1.725091767,1.889456869,2.245478036,1.887860082,6,1717,1219,577,1131,-0.108862462,-0.602418694,-1155.8
1085441037,0,0.628571429,0.540540541,0.482758621,0.538461538,0.710144928,1.931063123,1.571823204,1.923684211,1.426229508,3.259398496,519,78,161,-18,1404,0.388888889,0.493006993,0.514285714,0.5625,0.0,1.992063492,1.822474858,1.724798387,1.478354978,0.631578947,124,1475,223,-10,-33,0.188359092,0.492585576,73.0
1085441038,1,0.529411765,0.391304348,0.395348837,0.529411765,0.6,1.494949495,1.401538462,1.306372549,2.205761317,1.539325843,-1,-64,-158,343,7,0.785714286,0.571428571,0.636363636,0.75,0.5,2.925,1.322192513,2.106060606,1.758064516,0.9,228,-133,80,16,-18,-0.159605956,-0.212673994,-9.2
1085441040,0,0.582857143,0.478672986,0.526315789,0.421052632,0.448275862,1.879966424,2.480922099,1.559027778,2.049242424,1.643109541,1358,2468,17,145,162,0.595744681,0.572890026,0.636363636,0.542533081,0.333333333,2.742902208,2.850266086,2.09494382,1.922616195,1.337209302,788,5582,1059,3528,-28,-0.044738069,-0.267133869,-1355.8
1085441042,1,0.523255814,0.554347826,0.510638298,0.567567568,0.594594595,1.010204082,2.425946548,2.246350365,1.702702703,1.889928058,-624,1663,409,120,542,0.642857143,0.5,0.578947368,0.571428571,0.456521739,3.01565762,1.429460581,1.32,2.283333333,2.038944724,1452,-34,-108,94,429,0.000129856,-0.162452901,55.4
1085441058,1,0.532258065,0.4,0.4,0.428571429,0.62,1.891712275,1.639534884,1.023076923,0.957650273,1.763157895,1002,12,-62,-397,500,0.502512563,0.5,0.310344828,0.466292135,0.514138817,1.711700844,2.142458101,1.026066351,1.427117531,1.727447217,1404,230,-200,-222,1422,0.01750823,-0.151931559,-315.8
1085441061,1,0.555555556,0.375,0.4,0.428571429,0.0,1.751612903,1.044715447,1.317610063,1.244897959,0.111111111,78,-224,-58,-25,-25,0.571428571,0.625,0.473684211,0.6,0.46875,2.525,3.435897436,1.191919192,1.119047619,0.817622951,41,151,-122,-48,-333,-0.19594716,-0.723907943,11.4
1085441066,0,0.555555556,0.625,0.555555556,0.5,0.6,2.45,4.76,0.892156863,2.807692308,2.44,247,163,-62,102,47,0.545454545,0.52,0.472222222,0.5,0.25,1.505325444,1.257022472,1.217081851,0.608695652,1.482142857,9,-173,-159,-41,-1,0.109686869,1.455916179,172.4
1085441068,0,0.626506024,0.636363636,0.555555556,1.0,0.549295775,1.72992126,2.143037975,1.847058824,2.777777778,2.459821429,292,508,413,23,860,0.408163265,0.553784861,0.554347826,0.666666667,0.666666667,1.424418605,1.968697124,1.753125,2.33984375,1.125,-52,1662,324,215,-18,0.103618341,0.469306557,-7.0
1085441069,1,0.571428571,0.608695652,0.714285714,0.421052632,0.555555556,1.296296296,2.106060606,2.5,1.386178862,0.955172414,-33,200,92,-28,-158,0.514066496,0.55,0.428571429,0.416666667,0.558823529,1.684126984,2.707089552,1.822222222,1.191964286,1.959459459,1392,647,29,-69,238,0.080578001,-0.224230865,-432.8
1085441094,0,0.573333333,0.628571429,0.518181818,0.375,1.0,1.630769231,1.889189189,2.282802548,1.47761194,0.3,119,144,1229,-6,-12,0.377358491,0.447368421,0.464285714,0.666666667,0.4,1.788135593,1.509493671,1.495327103,1.636363636,1.483870968,204,6,-2,3,-1,0.147881458,-0.066563613,252.8
1085441100,0,0.491525424,0.632911392,0.516129032,0.238095238,0.598540146,1.665587419,2.355603448,1.784507042,0.76984127,2.08020165,358,1588,202,-368,1266,0.478723404,0.461538462,0.176470588,0.586206897,0.571428571,2.162470496,1.53526971,1.384328358,2.498575499,1.103603604,1684,17,-31,701,-176,0.040566662,-0.005701367,170.2
1085441101,0,0.733333333,0.8,0.487179487,0.444444444,0.646153846,2.863636364,3.0,1.148477157,1.556451613,2.303249097,270,303,-277,7,445,0.5,0.535714286,0.2,0.363636364,0.6,1.333333333,1.899176955,0.696078431,1.06,1.0625,-26,194,-82,-66,-28,0.182352092,0.964145102,151.2
1085441104,0,0.727272727,0.425925926,0.553921569,0.488888889,0.518518519,1.642857143,1.049180328,2.627279635,1.983433735,1.877805486,50,-495,2967,321,303,0.546875,0.48470948,0.517133956,0.444444444,0.238095238,1.945205479,1.423902858,1.978134111,0.654320988,0.871052632,455,-1949,2296,-137,-239,0.096653902,0.461588052,544.0
1085441105,0,0.425531915,0.454545455,0.428571429,0.466666667,0.666666667,1.589506173,1.667857143,1.615384615,2.022304833,1.294642857,87,47,12,281,-23,0.625,0.514285714,0.0,0.402985075,0.538461538,3.65034965,1.139830508,1.347826087,1.082781457,1.088435374,615,-170,-7,-378,-121,0.072249961,-0.023905491,93.0
1085441115,0,0.857142857,0.428571429,0.714285714,0.766666667,0.682539683,2.934931507,2.262962963,2.769230769,2.705729167,1.791666667,419,206,99,463,252,0.428571429,0.558823529,0.632911392,0.571428571,0.0,2.738095238,1.920233463,2.102434077,2.291925466,1.142857143,104,216,594,255,-5,0.251494285,0.453795137,55.0
1085441116,0,0.425,0.679245283,0.677966102,0.818181818,0.625,1.507449344,2.797297297,1.692434211,3.08974359,1.615384615,25,864,117,248,12,0.372093023,0.4,0.3125,0.583333333,0.8,1.136363636,1.605263158,2.131782946,1.592760181,1.574324324,-304,20,163,41,11,0.151493369,0.532362962,267.0
1085441130,1,0.55,0.473684211,0.548387097,0.4,0.5,1.820866142,1.480818414,1.001724138,1.55952381,1.154255319,163,-15,-578,40,-130,0.517128874,0.333333333,0.534883721,0.552238806,0.642857143,1.975018925,1.29787234,1.387646432,1.245515695,1.252525253,3765,-19,-211,-227,-49,-0.021674114,-0.028278165,-755.8
1085441131,0,0.543209877,0.416666667,0.5,0.490196078,0.467741935,1.817294282,1.1625,0.918367347,1.840807175,1.862204724,455,-135,-57,608,276,0.333333333,0.481481481,0.4,0.380952381,0.470588235,1.5625,1.365168539,0.866666667,1.098901099,0.773049645,9,-72,-646,-146,-205,0.070291825,0.386977516,441.4
1085441133,0,0.506849315,0.615384615,0.333333333,0.347826087,0.5,2.448405253,1.419889503,0.942567568,1.201188455,1.125,1011,-29,-165,-352,-15,0.529069767,0.529411765,0.483870968,0.444444444,0.666666667,2.113030958,1.692028986,0.968978102,1.360294118,1.9,1703,53,-291,-19,36,-0.070014052,-0.179456277,-206.4
1085441134,0,0.538461538,0.558823529,0.523809524,0.573333333,0.440909091,1.633333333,1.849557522,1.542986425,2.218556701,0.970431411,56,474,19,697,-2185,0.546875,0.416666667,0.544642857,0.0,0.321428571,1.77513465,1.042471042,1.817613636,1.0,0.97311828,613,-237,1118,-46,-294,0.161144784,0.321305557,-418.6
1085441135,1,0.468085106,0.542465753,0.380952381,0.375,0.0,2.436170213,2.522210744,1.606936416,1.471014493,0.37037037,528,3958,37,-8,-61,0.467532468,0.518987342,0.333333333,0.452830189,0.523809524,1.942238267,1.832761578,0.640625,1.253134796,1.330310881,490,388,-110,-315,-131,-0.105997923,0.281526343,826.4
1085441142,0,0.666666667,1.0,0.5,0.333333333,0.416666667,3.0,1.653846154,1.55,0.716666667,0.71875,54,4,2,-47,-150,0.5,0.421052632,0.2,0.58974359,0.416666667,4.107142857,1.342560554,0.684210526,2.517793594,0.831858407,73,-91,-93,572,-151,0.157840756,-0.368860624,-89.4
1085441145,0,0.428571429,0.576271186,0.777777778,0.833333333,0.333333333,1.9,2.273863636,2.07037037,3.18,1.337837838,32,681,154,84,-12,0.647058824,0.414634146,0.333333333,0.461538462,0.0,2.483870968,2.137795276,1.044444444,1.452272727,0.5625,366,324,-41,-42,-30,0.218544459,0.616237686,72.4
1085441146,0,0.764705882,0.607142857,0.571428571,0.764705882,0.666666667,2.183908046,2.1,1.013157895,2.518656716,2.733333333,119,246,-74,273,37,0.517241379,0.4,0.548387097,0.352941176,0.523809524,1.593896714,1.161157025,1.74235474,1.796153846,1.657894737,40,-82,317,77,54,0.206454137,0.519519786,39.0
1085441147,1,0.6,0.378787879,0.333333333,0.181818182,0.384146341,2.032520325,1.782226563,1.083333333,1.004587156,1.372340426,131,289,-25,-108,-372,0.541666667,0.597510373,0.333333333,0.534979424,0.333333333,1.786240786,1.52783903,1.132075472,1.22914606,1.125,233,101,-39,-1643,-93,-0.092547479,0.094941291,271.2
1085441148,0,0.555555556,0.555555556,0.571428571,0.571428571,0.333333333,1.582352941,1.102739726,0.900793651,0.929104478,0.625,14,-58,-151,-153,-84,0.333333333,0.6,0.0,0.363636364,0.25,1.577464789,1.872093023,2.416666667,1.357142857,1.209677419,11,32,44,-24,-18,0.208066378,-0.658610792,-95.4
1085441154,0,0.652173913,0.4375,0.636363636,0.494505495,0.445544554,2.150793651,1.73943662,1.735955056,1.635245902,1.021008403,164,68,42,363,-684,0.35,0.4296875,0.578947368,0.166666667,0.5,1.470189702,1.246948739,1.4375,0.805309735,1.37654321,-22,-622,-21,-157,-20,0.128157213,0.389189649,159.0
1085441155,1,0.366666667,0.535714286,0.551724138,0.307692308,0.541666667,2.342857143,2.074626866,1.510460251,0.76744186,1.384393064,295,231,5,-126,-40,0.458333333,0.3,1.0,0.411764706,0.2,1.587443946,0.940789474,1.916666667,1.153571429,0.916666667,39,-85,5,-97,-91,-0.013326795,0.3129282,118.8
